CLDI	PUB	loc	no	raw_translit	normalized_translit	annotations	transli_entities	entities
P499212	01.IS.62	@reverse	3	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P142761	AAICAB 1/1, pl. 048, 1911-488	@reverse	5	mu e2 puzur4-isz-da-gan ba-du3	mu e2 puzur4-ic-da-gan ba-du3		mu(year) e2 puzur4-isz-da-gan ba-du3	ba-du3
P142785	AAICAB 1/1, pl. 053, 1919-11a-b	@column 2	3	ARAD2-zu	ARAD2-zu			
P142787	AAICAB 1/1, pl. 054, 1923-412	@left	1	1(u) 9(disz) udu 1(disz) masz-da3	1(u) 9(dic) udu 1(dic) mac-da3			
P142788	AAICAB 1/1, pl. 054, 1923-415	@left	1	u4 2(u)-kam	u4 2(u)-kam			
P142789	AAICAB 1/1, pl. 054, 1923-419	@left	1	[...] 4(disz) udu	[...] 4(dic) udu			
P142790	AAICAB 1/1, pl. 054, 1923-420	@left	1	2(u) 4(disz)	2(u) 4(dic)			
P142791	AAICAB 1/1, pl. 055, 1923-421	@left	1	2(u) 6(disz) [...]	2(u) 6(dic) [...]			
P142793	AAICAB 1/1, pl. 055, 1923-425	@left	1	1(gesz'u) 3(gesz2)	1(gec'u) 3(gec2)			
P142794	AAICAB 1/1, pl. 055, 1923-426	@reverse	8	mu si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul	mu si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(dic)-kam-ac ba-hul		mu(year) si-mu(year)-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul	
P142799	AAICAB 1/1, pl. 056, 1923-431	@reverse	8	mu ur-bi2-lum{ki} ba-hul	mu ur-bi2-lum{ki} ba-hul		mu(year) ur-bi2-lum{ki} ba-hul	ur-bi2-lum{ki}
P142803	AAICAB 1/1, pl. 057, 1924-0473	@seal 1	1	7(gesz2) 2(u) udu	7(gec2) 2(u) udu			
P142805	AAICAB 1/1, pl. 057, 1924-0516	@left	1	u4? 2(u) 3(disz)-kam	u4? 2(u) 3(dic)-kam			
P142807	AAICAB 1/1, pl. 058, 1924-0530	@left	1	2(disz) gu4 2(u) 2(disz) udu	2(dic) gu4 2(u) 2(dic) udu			
P142809	AAICAB 1/1, pl. 059, 1924-0536	@left	1	3(u) 1(disz)	3(u) 1(dic)			
P142810	AAICAB 1/1, pl. 059, 1924-0546	@left	1	4(disz) gu4	4(dic) gu4			
P142811	AAICAB 1/1, pl. 059, 1924-0547	@left	1	5(disz)	5(dic)			
P142812	AAICAB 1/1, pl. 059, 1924-0553	@reverse	6	mu gu-za {d}en-lil2-la2 ba-dim2	mu gu-za {d}en-lil2-la2 ba-dim2		mu(year) gu-za {d}en-lil2-la2 ba-dim2	ba-dim2
P142813	AAICAB 1/1, pl. 059, 1924-0555	@left	1	2(disz)	2(dic)			
P142849	AAICAB 1/1, pl. 067, 1924-1053	@reverse	3'	mu us2-sa [ki]-masz{ki} ba-hul#	mu us2-sa [ki]-mac{ki} ba-hul#		mu(year) us2-sa [ki]-masz{ki} ba-hul#	
P142855	AAICAB 1/1, pl. 078, 1924-1701	@reverse	3	mu {d}amar-{d}suen lugal	mu {d}amar-{d}suen lugal		mu(year) {d}amar-{d}suen lugal	{d}amar-{d}suen
P142856	AAICAB 1/1, pl. 078, 1924-1706	@reverse	7	iti ezem-an-na	iti ezem-an-na		iti[month] ezem-an-na	
P142857	AAICAB 1/1, pl. 078, 1924-1788	@left	1	1(disz)	1(dic)			
P142858	AAICAB 1/1, pl. 078, 1924-2161	@left	1	2(disz) udu 1(disz) az	2(dic) udu 1(dic) az			
P142859	AAICAB 1/1, pl. 078, 1924-2162	@left	1	gur11-gur11-ra-a ba-a-gar	gur11-gur11-ra-a ba-a-gar			
P142868	AAICAB 1/1, pl. 080, 1932-529	@column 5	9'	iti 3(u)-kam	iti 3(u)-kam		iti[month] 3(u)-kam	
P248590	AAICAB 1/2, pl. 085, 1935-515	@reverse	2	4(ban2) i-zu-a-ri2-ik	4(ban2) i-zu-a-ri2-ik			
P248618	AAICAB 1/2, pl. 094, 1935-543	@left	1	u4 1(u) 7(disz)-kam	u4 1(u) 7(dic)-kam			
P248623	AAICAB 1/2, pl. 095, 1935-548	@seal 1	3	dumu# [...]	dumu# [...]		dumu(year)# [...]	
P248626	AAICAB 1/2, pl. 095, 1935-551	@left	1	u4 2(u) 3(disz)-kam	u4 2(u) 3(dic)-kam			
P248629	AAICAB 1/2, pl. 096, 1935-554	@reverse	3	mu us2-sa ur-bi2-lum{ki} ba-hul	mu us2-sa ur-bi2-lum{ki} ba-hul		mu(year) us2-sa ur-bi2-lum{ki} ba-hul	us2-sa
P248636	AAICAB 1/2, pl. 097, 1935-561	@reverse	7	mu us2-sa e2 puzur4-isz-{d}da-gan ba-du3	mu us2-sa e2 puzur4-ic-{d}da-gan ba-du3		mu(year) us2-sa e2 puzur4-isz-{d}da-gan ba-du3	
P248637	AAICAB 1/2, pl. 098, 1935-562	@reverse	6	mu ha-ar-szi{ki} u3 ki-masz{ki} ba-hul	mu ha-ar-ci{ki} u3 ki-mac{ki} ba-hul		mu(year) ha-ar-szi{ki} u3 ki-masz{ki} ba-hul	ki-masz{ki}
P248651	AAICAB 1/2, pl. 100, 1935-576	@reverse	4	mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(disz@t)-kam ba-hul	mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(dic@t)-kam ba-hul		mu(year) si-mu(year)-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(disz@t)-kam ba-hul	
P248659	AAICAB 1/2, pl. 101, 1937-048	@reverse	8	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P248672	AAICAB 1/2, pl. 104, 1937-061	@left	1	3(u) 8(disz)	3(u) 8(dic)			
P248675	AAICAB 1/2, pl. 104, 1937-064	@reverse	6	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P248676	AAICAB 1/2, pl. 105, 1937-065	@reverse	12	mu# us2-sa ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu# us2-sa ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year)# us2-sa ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	us2-sa
P248681	AAICAB 1/2, pl. 106, 1937-070	@reverse	5	mu sza-asz-ru{ki} ba-hul#	mu ca-ac-ru{ki} ba-hul#		mu(year) sza-asz-ru{ki} ba-hul#	sza-asz-ru{ki}
P248683	AAICAB 1/2, pl. 106, 1937-072	@seal 1	4	sipa gu4 niga#	sipa gu4 niga#			
P248711	AAICAB 1/2, pl. 112, 1937-629	@left	1	1(u) 6(disz) udu	1(u) 6(dic) udu			
P248713	AAICAB 1/2, pl. 113, 1937-645	@reverse	2	[...] x x-ma#	[...] x x-ma#			
P248717	AAICAB 1/2, pl. 114, 1937-638	@reverse	4	iti szu-esz-sza	iti cu-ec-ca		iti[month] szu-esz-sza	szu-esz-sza
P248718	AAICAB 1/2, pl. 114, 1937-639	@reverse	12	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P248730	AAICAB 1/2, pl. 118, 1954-208	@left	1	2(u) 1(disz) udu	2(u) 1(dic) udu			
P248731	AAICAB 1/2, pl. 118, 1960-721	@left	1	1(disz)	1(dic)			
P248732	AAICAB 1/2, pl. 118, 1961-252	@column 2	4	ARAD2#-zu#	ARAD2#-zu#			
P248734	AAICAB 1/2, pl. 118, 1967-1484	@left	1	3(gesz'u) 1(gesz2) 4(u) 3(disz)	3(gec'u) 1(gec2) 4(u) 3(dic)			
P248735	AAICAB 1/2, pl. 119, 1967-1485	@reverse	16	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P248736	AAICAB 1/2, pl. 119, 1967-1486	@left	1	1(disz) gu4 3(u) 2(disz) udu	1(dic) gu4 3(u) 2(dic) udu			
P248737	AAICAB 1/2, pl. 119, 1967-1487	@reverse	4	mu en-unu6-gal {d}inanna ba-hun	mu en-unu6-gal {d}inanna ba-hun		mu(year) en-unu6-gal {d}inanna ba-hun	ba-hun
P248738	AAICAB 1/2, pl. 120, 1967-1488	@left	1	5(disz)	5(dic)			
P248739	AAICAB 1/2, pl. 120, 1967-1489	@reverse	5	mu {d}amar-{d}suen lugal	mu {d}amar-{d}suen lugal		mu(year) {d}amar-{d}suen lugal	{d}amar-{d}suen
P248740	AAICAB 1/2, pl. 120, 1967-1490	@reverse	3	mu si-mu-ru-um{ki} u3 lu-lu-bu-um{ki} a-ra2 1(u) la2 1(disz)-kam-ma-asz ba-hul	mu si-mu-ru-um{ki} u3 lu-lu-bu-um{ki} a-ra2 1(u) la2 1(dic)-kam-ma-ac ba-hul		mu(year) si-mu(year)-ru-um{ki} u3 lu-lu-bu-um{ki} a-ra2 1(u) la2 1(disz)-kam-ma-asz ba-hul	
P248741	AAICAB 1/2, pl. 120, 1967-1491	@left	1	3(disz) gu4 6(disz) udu	3(dic) gu4 6(dic) udu			
P248742	AAICAB 1/2, pl. 120, 1967-1492	@reverse	4	mu en {d}nanna ba-hun	mu en {d}nanna ba-hun		mu(year) en {d}nanna ba-hun	ba-hun
P248743	AAICAB 1/2, pl. 120, 1967-1493	@left	1	2(u) 8(disz) udu#	2(u) 8(dic) udu#			
P248744	AAICAB 1/2, pl. 120, 1967-1494	@reverse	8	mu {d}amar-{d}suen lugal-e sza-asz-ru{ki} mu-hul	mu {d}amar-{d}suen lugal-e ca-ac-ru{ki} mu-hul		mu(year) {d}amar-{d}suen lugal-e sza-asz-ru{ki} mu(year)-hul	mu-hul
P248745	AAICAB 1/2, pl. 120, 1967-1495	@left	1	2(u)	2(u)			
P248746	AAICAB 1/2, pl. 120, 1967-1496	@left	1	2(disz)	2(dic)			
P248783	AAICAB 1/2, pl. 125, 1971-268	@reverse	3	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P248798	AAICAB 1/2, pl. 127, 1971-283	@left	1	4(u) gu4 1(gesz'u) 5(gesz2) udu	4(u) gu4 1(gec'u) 5(gec2) udu			
P248804	AAICAB 1/2, pl. 128, 1971-289	@reverse	4	ki {d}szul-gi-si-sa2-ta	ki {d}cul-gi-si-sa2-ta			
P248830	AAICAB 1/2, pl. 132, 1971-316	@column 2	4	ARAD2-zu	ARAD2-zu			
P128014	AAICAB 1/2, pl. 139, 1971-346	@column 2	3	in-na-ba	in-na-ba			
P248864	AAICAB 1/2, pl. 140, 1971-351	@left	1	[u4] 1(u) 8(disz)-kam	[u4] 1(u) 8(dic)-kam			
P248867	AAICAB 1/2, pl. 141, 1971-354	@left	1	6(disz) gu4 3(gesz2) 2(u) 1(disz) udu	6(dic) gu4 3(gec2) 2(u) 1(dic) udu			
P248876	AAICAB 1/2, pl. 144, 1971-363	@left	1	1(disz) gu4 1(u) 2(disz) udu	1(dic) gu4 1(u) 2(dic) udu			
P248901	AAICAB 1/2, pl. 152, 1971-389	@left	1	u4 1(u) 6(disz)-kam	u4 1(u) 6(dic)-kam			
P248907	AAICAB 1/2, pl. 155, 1971-395	@left	1	2(gesz2) 1(u) 8(disz) [udu hi-a]	2(gec2) 1(u) 8(dic) [udu hi-a]			
P248974	AAICAB 1/3, pl. 182, Bod A 15	@seal 1	3	dumu mar-tu	dumu mar-tu		dumu(year) mar-tu	
P248989	AAICAB 1/3, pl. 188, Bod A 31	@seal 1	3	[...]	[...]			
P131054	AAICAB 1/3, pl. 195, Bod A 57	@left	1	mu bad3 ma-da ba-du3	mu bad3 ma-da ba-du3		mu(year) bad3 ma-da ba-du3	
P131065	AAICAB 1/3, pl. 195, Bod A 58	@reverse	4	mu us2-sa e2 puzur4-isz-{d}da-gan ba-du3	mu us2-sa e2 puzur4-ic-{d}da-gan ba-du3		mu(year) us2-sa e2 puzur4-isz-{d}da-gan ba-du3	
P131069	AAICAB 1/3, pl. 195, Bod A 59	@reverse	11	mu ki-masz{ki} ba-hul	mu ki-mac{ki} ba-hul		mu(year) ki-masz{ki} ba-hul	
P249006	AAICAB 1/3, pl. 195, Bod A 60	@seal 1	3	dumu na-sa6	dumu na-sa6		dumu(year) na-sa6	
P131080	AAICAB 1/3, pl. 195, Bod A 61	@reverse	3	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul		mu(year) us2-sa ki-masz{ki} ba-hul	
P131075	AAICAB 1/3, pl. 195, Bod A 62	@left	1	8(disz)	8(dic)			
P131063	AAICAB 1/3, pl. 195, Bod A 63	@left	1	1(u) 2(disz)	1(u) 2(dic)			
P131067	AAICAB 1/3, pl. 196, Bod A 64	@left	1	2(gesz'u) 3(gesz2) 4(u)	2(gec'u) 3(gec2) 4(u)			
P249013	AAICAB 1/3, pl. 198, Bod A 82	@left	1	5(u) 4(disz)	5(u) 4(dic)			
P131083	AAICAB 1/3, pl. 198, Bod A 83	@seal 1	4	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P249015	AAICAB 1/3, pl. 198, Bod A 84	@left	1	x x x [...]	x x x [...]			
P131057	AAICAB 1/3, pl. 198, Bod A 85	@left	1	2(u) 2(disz) gu4 3(disz) udu	2(u) 2(dic) gu4 3(dic) udu			
P131046	AAICAB 1/3, pl. 199, Bod A 88	@seal 1	2	dumu la-na kuruszda	dumu la-na kurucda		dumu(year) la-na kuruszda	
P249018	AAICAB 1/3, pl. 199, Bod A 90	@seal 1	2	dumu la-na kuruszda	dumu la-na kurucda		dumu(year) la-na kuruszda	
P249020	AAICAB 1/3, pl. 201, Bod A 098	@left	1	3(u) udu	3(u) udu			
P249019	AAICAB 1/3, pl. 201, Bod A 100	@left	1	4(u) 6(disz)	4(u) 6(dic)			
P131056	AAICAB 1/3, pl. 202, Bod A 103	@column 2	4	ARAD2-zu	ARAD2-zu			
P249023	AAICAB 1/3, pl. 202, Bod A 107	@reverse	6	[...]	[...]			
P249201	AAICAB 1/3, pl. 246, Bod S 309	@reverse	13	ab#-[ba-sa6-ga i3]-dab5	ab#-[ba-sa6-ga i3]-dab5			
P330381	AAICAB 1/4, Bod S 311	@seal 1	7	dumu ur-{d}[ha-ni ARAD2-zu]	dumu ur-{d}[ha-ni ARAD2-zu]		dumu(year) ur-{d}[ha-ni ARAD2-zu]	ARAD2-zu]
P330383	AAICAB 1/4, Bod S 313	@reverse	12	2(disz) udu niga# [...]	2(dic) udu niga# [...]			
P330384	AAICAB 1/4, Bod S 314	@reverse	5	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P330390	AAICAB 1/4, Bod S 320	@reverse	13	mu ur-[...]	mu ur-[...]		mu(year) ur-[...]	ur-[...]
P330392	AAICAB 1/4, Bod S 322	@left	1	1(u) 3(disz)	1(u) 3(dic)			
P330393	AAICAB 1/4, Bod S 323	@left	1	2(u) 3(disz) udu 3(disz) masz-da3	2(u) 3(dic) udu 3(dic) mac-da3			
P330397	AAICAB 1/4, Bod S 327	@reverse	8	[...]	[...]			
P330441	AAICAB 1/4, Bod S 372	@left	1	1(gesz2) 2(disz)	1(gec2) 2(dic)			
P330443	AAICAB 1/4, Bod S 374	@left	1	2(disz) gu4 7(disz) udu	2(dic) gu4 7(dic) udu			
P330458	AAICAB 1/4, Bod S 390	@reverse	7	mu ki-masz#{ki#} u3 hu-ur5-ti# [ba]-hul#	mu ki-mac#{ki#} u3 hu-ur5-ti# [ba]-hul#		mu(year) ki-masz#{ki#} u3 hu-ur5-ti# [ba]-hul#	hu-ur5-ti#
P330459	AAICAB 1/4, Bod S 391	@column 2	4	ARAD2-zu	ARAD2-zu			
P330462	AAICAB 1/4, Bod S 394	@reverse	5	mu ki-masz{ki} u3 hu#-[ur5]-ti{ki} ba-hul	mu ki-mac{ki} u3 hu#-[ur5]-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu#-[ur5]-ti{ki} ba-hul	hu#-[ur5]-ti{ki}
P330480	AAICAB 1/4, Bod S 412	@reverse	9	[mu us2]-sa# ki-masz{ki} ba#-hul	[mu us2]-sa# ki-mac{ki} ba#-hul		[mu(year) us2]-sa# ki-masz{ki} ba#-hul	
P330482	AAICAB 1/4, Bod S 414	@reverse	5	mu# ha#-ar-szi{ki#} [ki-masz{ki}] hu#-[ur5-ti]{ki} ba-hul#	mu# ha#-ar-ci{ki#} [ki-mac{ki}] hu#-[ur5-ti]{ki} ba-hul#		mu(year)# ha#-ar-szi{ki#} [ki-masz{ki}] hu#-[ur5-ti]{ki} ba-hul#	
P330484	AAICAB 1/4, Bod S 416	@reverse	10	mu ha-ar-szi{ki} ki-masz{ki} ba-hul	mu ha-ar-ci{ki} ki-mac{ki} ba-hul		mu(year) ha-ar-szi{ki} ki-masz{ki} ba-hul	
P330487	AAICAB 1/4, Bod S 419	@reverse	3	mu {d}amar-{d}suen lugal	mu {d}amar-{d}suen lugal		mu(year) {d}amar-{d}suen lugal	{d}amar-{d}suen
P330489	AAICAB 1/4, Bod S 421	@reverse	8	mu ha-ar-szi{ki} [hu-ur5]-ti#{ki} ki-masz{ki} [ba-hul]	mu ha-ar-ci{ki} [hu-ur5]-ti#{ki} ki-mac{ki} [ba-hul]		mu(year) ha-ar-szi{ki} [hu-ur5]-ti#{ki} ki-masz{ki} [ba-hul]	
P330493	AAICAB 1/4, Bod S 425	@seal 1	3	sipa gu4 [...]	sipa gu4 [...]			
P330497	AAICAB 1/4, Bod S 429	@left	1	6(disz)	6(dic)			
P330498	AAICAB 1/4, Bod S 430	@reverse	5	mu us2-sa e2#-[puzur4]-isz-{d}da-[gan] mu us2-sa#-[a-bi]	mu us2-sa e2#-[puzur4]-ic-{d}da-[gan] mu us2-sa#-[a-bi]		mu(year) us2-sa e2#-[puzur4]-isz-{d}da-[gan] mu(year) us2-sa#-[a-bi]	us2-sa#-[a-bi]
P330499	AAICAB 1/4, Bod S 431	@reverse	9	mu us2-sa ur-bi2-lum{ki} ba	mu us2-sa ur-bi2-lum{ki} ba		mu(year) us2-sa ur-bi2-lum{ki} ba	us2-sa
P330542	AAICAB 1/4, Bod S 474	@left	1	1(u) udu	1(u) udu			
P330548	AAICAB 1/4, Bod S 480	@reverse	11	[mu ha-ar]-szi#{ki} u3 [ki-masz{ki}] ba-hul	[mu ha-ar]-ci#{ki} u3 [ki-mac{ki}] ba-hul		[mu(year) ha-ar]-szi#{ki} u3 [ki-masz{ki}] ba-hul	[ki-masz{ki}]
P330550	AAICAB 1/4, Bod S 482	@reverse	8	mu ki-masz{ki} u3 hu-ur5#-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5#-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5#-ti{ki} ba-hul	hu-ur5#-ti{ki}
P330572	AAICAB 1/4, Bod S 505	@left	1	2(disz)#	2(dic)#			
P330582	AAICAB 1/4, Bod S 516	@left	1	u4 2(u) 5(disz)-kam	u4 2(u) 5(dic)-kam			
P330594	AAICAB 1/4, Bod S 528	@reverse	6	[mu] si#-mu-ru-um{ki} [u3 lu]-lu-bu{ki} a-ra2 [1(u) la2 1(disz@t)-kam]-asz ba-hul	[mu] si#-mu-ru-um{ki} [u3 lu]-lu-bu{ki} a-ra2 [1(u) la2 1(dic@t)-kam]-ac ba-hul		[mu(year)] si#-mu(year)-ru-um{ki} [u3 lu]-lu-bu{ki} a-ra2 [1(u) la2 1(disz@t)-kam]-asz ba-hul	
P330616	AAICAB 1/4, Bod S 550	@reverse	6	mu ur-bi2-lum{ki} ba-hul	mu ur-bi2-lum{ki} ba-hul		mu(year) ur-bi2-lum{ki} ba-hul	ur-bi2-lum{ki}
P330620	AAICAB 1/4, Bod S 554	@reverse	5	mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	mu ki-mac{ki} u3 hu-ur5-ti{ki} ba-hul		mu(year) ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul	hu-ur5-ti{ki}
P330622	AAICAB 1/4, Bod S 556	@reverse	6'	[...] x [...]	[...] x [...]			
P330628	AAICAB 1/4, Bod S 569	@seal 1	1	1(disz) gu4 1(u) 6(disz) udu	1(dic) gu4 1(u) 6(dic) udu			
P330630	AAICAB 1/4, Bod S 571	@column 2	16'	mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 na-ru2-a-mah {d}en-lil2 {d}nin-lil2-ra mu-ne-du3	mu {d}cu-{d}suen lugal uri5{ki}-ma-ke4 na-ru2-a-mah {d}en-lil2 {d}nin-lil2-ra mu-ne-du3		mu(year) {d}szu-{d}suen lugal uri5{ki}-ma-ke4 na-ru2-a-mah {d}en-lil2 {d}nin-lil2-ra mu(year)-ne-du3	na-ru2-a-mah
P330632	AAICAB 1/4, Bod S 573	@column 2	8	u4# 1(u) 1(disz)-kam	u4# 1(u) 1(dic)-kam			
P330633	AAICAB 1/4, Bod S 574	@column 2	4	ARAD2-zu	ARAD2-zu			
P330634	AAICAB 1/4, Bod S 575	@seal 1	3	dumu ur-[mes?]	dumu ur-[mes?]		dumu(year) ur-[mes?]	
P330635	AAICAB 1/4, Bod S 576	@left	1	u4 2(u) 5(disz)-kam	u4 2(u) 5(dic)-kam			
P330638	AAICAB 1/4, Bod S 579	@reverse	4	mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(disz@t)-kam-asz ba-hul	mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(dic@t)-kam-ac ba-hul		mu(year) si-mu(year)-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 1(u) la2 1(disz@t)-kam-asz ba-hul	
P330639	AAICAB 1/4, Bod S 580	@column 2	4	ARAD2-zu	ARAD2-zu			
P330642	AAICAB 1/4, Bod S 583	@left	1	u4 3(disz)-kam	u4 3(dic)-kam			
P330643	AAICAB 1/4, Bod S 584	@left	1	u4 8(disz)-kam	u4 8(dic)-kam			
P330645	AAICAB 1/4, Bod S 587	@reverse	15	mu# hu-ur5-ti{ki} ba-hul	mu# hu-ur5-ti{ki} ba-hul		mu(year)# hu-ur5-ti{ki} ba-hul	
P330646	AAICAB 1/4, Bod S 588	@left	1	1(u)	1(u)			
P330701	AAICAB 1/4, AAICAB 1/4, J.C. Faye 1	@left	1	1(u) udu 4(disz) masz-da3	1(u) udu 4(dic) mac-da3			
P330694	AAICAB 1/4, Lévesque 1	@reverse	11	mu bad3 ma-da ba-du3	mu bad3 ma-da ba-du3		mu(year) bad3 ma-da ba-du3	
P330696	AAICAB 1/4, M.d.S. 4	@seal 1	2	dumu na-sa6 [kuruszda]	dumu na-sa6 [kurucda]		dumu(year) na-sa6 [kuruszda]	[kuruszda]
P330697	AAICAB 1/4, M.d.S. 5	@left	1	2(disz) gu4 1(u) 6(disz) udu	2(dic) gu4 1(u) 6(dic) udu			
P330698	AAICAB 1/4, M.d.S. 6	@seal 1	2	dumu ka5-[a x?]	dumu ka5-[a x?]		dumu(year) ka5-[a x?]	
P330657	AAICAB 1/4, TCICA 05	@seal 1	10	e2#	e2#			
P330658	AAICAB 1/4, TCICA 06	@left	1	1(disz)	1(dic)			
P330659	AAICAB 1/4, TCICA 07	@seal 1	3	ku3-dim2#	ku3-dim2#			
P330660	AAICAB 1/4, TCICA 08	@reverse	4	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul		mu(year) us2-sa ki-masz{ki} ba-hul	
P330661	AAICAB 1/4, TCICA 09	@reverse	4	mu us2-sa ki-masz{ki} ba-hul	mu us2-sa ki-mac{ki} ba-hul		mu(year) us2-sa ki-masz{ki} ba-hul	
P330662	AAICAB 1/4, TCICA 10	@left	1	5(disz)	5(dic)			
P330663	AAICAB 1/4, TCICA 11	@left	1	1(gesz2) 3(u) 6(disz)	1(gec2) 3(u) 6(dic)			
P330664	AAICAB 1/4, TCICA 12	@left	1	1(u) masz	1(u) mac			
P330665	AAICAB 1/4, TCICA 13	@left	1	2(disz)	2(dic)			
P330666	AAICAB 1/4, TCICA 14	@left	1	2(disz)	2(dic)			
P330667	AAICAB 1/4, TCICA 15	@left	1	2(disz)	2(dic)			
P330668	AAICAB 1/4, TCICA 16	@left	1	2(disz)	2(dic)			
P330669	AAICAB 1/4, TCICA 17	@column 2	4	lugal an-ub-da limmu2-ba	lugal an-ub-da limmu2-ba		lugal an-ub-da limmu(year)2-ba	
P330670	AAICAB 1/4, TCICA 18	@left	1	4(u) 7(disz)	4(u) 7(dic)			
P330671	AAICAB 1/4, TCICA 19	@left	1	1(u) 6(disz)	1(u) 6(dic)			
P330672	AAICAB 1/4, TCICA 20	@left	1	6(disz)	6(dic)			
P330673	AAICAB 1/4, TCICA 21	@left	1	5(disz) gu4	5(dic) gu4			
P330674	AAICAB 1/4, TCICA 22	@left	1	6(disz)	6(dic)			
P330675	AAICAB 1/4, TCICA 23	@seal 1	4	dumu [...]	dumu [...]		dumu(year) [...]	
P330676	AAICAB 1/4, TCICA 24	@left	1	2(disz)	2(dic)			
P330677	AAICAB 1/4, TCICA 25	@seal 1	2	dumu la-na kuruszda	dumu la-na kurucda		dumu(year) la-na kuruszda	
P330678	AAICAB 1/4, TCICA 26	@column 2	4	lugal an-ub-da limmu2-ba	lugal an-ub-da limmu2-ba		lugal an-ub-da limmu(year)2-ba	
P330679	AAICAB 1/4, TCICA 27	@reverse	2	[mu us2-sa] {d#}szu-{d}suen [lugal] uri5#{ki}-ma-ke4 [bad3 mar]-tu mu-ri-iq-ti#-id#-ni-im mu-du3-a mu us2-sa-bi	[mu us2-sa] {d#}cu-{d}suen [lugal] uri5#{ki}-ma-ke4 [bad3 mar]-tu mu-ri-iq-ti#-id#-ni-im mu-du3-a mu us2-sa-bi		[mu(year) us2-sa] {d#}szu-{d}suen [lugal] uri5#{ki}-ma-ke4 [bad3 mar]-tu mu(year)-ri-iq-ti#-id#-ni-im mu(year)-du3-a mu(year) us2-sa-bi	mu-du3-a
P330680	AAICAB 1/4, TCICA 28	@seal 1	8	ARAD2-zu	ARAD2-zu			
P330682	AAICAB 1/4, TCICA 30	@reverse	2	mu# [...]{ki} [...]	mu# [...]{ki} [...]		mu(year)# [...]{ki} [...]	
P330683	AAICAB 1/4, TCICA 31	@reverse	1	iti ki-siki-{d}nin-a-zu	iti ki-siki-{d}nin-a-zu		iti[month] ki-siki-{d}nin-a-zu	ki-siki-{d}nin-a-zu
P330684	AAICAB 1/4, TCICA 32	@left	1	8(disz)	8(dic)			
P330685	AAICAB 1/4, TCICA 33	@column 2	7	[szunigin n] 5(u) 8(disz) udu masz2 [...]	[cunigin n] 5(u) 8(dic) udu mac2 [...]			
