CLDI	PUB	loc	no	raw_translit	normalized_translit	annotations	transli_entities	entities
P128182	Rochester 077	@left	1	1(disz) gu4 2(u) 1(disz) udu	1(dic) gu4 2(u) 1(dic) udu			
P128183	Rochester 078	@left	1	7(disz)	7(dic)			
P128184	Rochester 079	@column 2	4	ARAD2-zu	ARAD2-zu			
P128185	Rochester 080	@column 2	4	ARAD2-zu	ARAD2-zu			
P128186	Rochester 081	@left	1	szunigin 3(u) 6(disz) gu4 1(u) 2(disz) udu	cunigin 3(u) 6(dic) gu4 1(u) 2(dic) udu			
P128187	Rochester 082	@reverse	7	[...]	[...]			
P128188	Rochester 083	@seal 1	4	szusz3 lugal	cuc3 lugal			
P128189	Rochester 084	@seal 1	8	ARAD2-zu	ARAD2-zu			
P128190	Rochester 085	@seal 1	8	sipa na-gab2-tum	sipa na-gab2-tum			
P128191	Rochester 086	@seal 1	3	dumu i-s,ur#?-i3-li2	dumu i-s,ur#?-i3-li2		dumu(year) i-s,ur#?-i3-li2	
P128192	Rochester 087	@column 2	3	ARAD2-zu	ARAD2-zu			
P128193	Rochester 088	@left	1	2(u) 8(disz)	2(u) 8(dic)			
P128194	Rochester 089	@reverse	3	mu us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 bad3 mar-tu mu-ri-iq-ti-id-ni-im mu-du3 mu us2-sa-bi	mu us2-sa {d}cu-{d}suen lugal uri5{ki}-ma-ke4 bad3 mar-tu mu-ri-iq-ti-id-ni-im mu-du3 mu us2-sa-bi		mu(year) us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 bad3 mar-tu mu(year)-ri-iq-ti-id-ni-im mu(year)-du3 mu(year) us2-sa-bi	mu-du3
P128195	Rochester 090	@left	1	5(disz) udu 1(disz) masz-da3	5(dic) udu 1(dic) mac-da3			
P128196	Rochester 091	@left	1	1(disz) udu	1(dic) udu			
P128197	Rochester 092	@seal 1	7	ARAD2-zu	ARAD2-zu			
P128198	Rochester 093	@seal 1	8	ARAD2-zu	ARAD2-zu			
P128199	Rochester 094	@reverse	11	mu {d}i-bi2-{d}suen lugal	mu {d}i-bi2-{d}suen lugal		mu(year) {d}i-bi2-{d}suen lugal	{d}i-bi2-{d}suen
P128336	Rochester 232	@reverse	5	mu en {d}inanna ba-hun	mu en {d}inanna ba-hun		mu(year) en {d}inanna ba-hun	ba-hun
P128337	Rochester 233	@reverse	9	mu hu-uh2-nu-ri{ki} ba-hul	mu hu-uh2-nu-ri{ki} ba-hul		mu(year) hu-uh2-nu-ri{ki} ba-hul	
P128338	Rochester 234	@reverse	3	mu ma2-gur8-mah ba-ab-du8	mu ma2-gur8-mah ba-ab-du8		mu(year) ma2-gur8-mah ba-ab-du8	
P128340	Rochester 236	@left	1	4(disz)	4(dic)			
P128342	Rochester 238	@reverse	4	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P128346	Rochester 249	@column 2	4	in-na-ba	in-na-ba			
P417382	ROM 925.062.287	@reverse	7	mu ki-masz{ki} a-hul	mu ki-mac{ki} a-hul		mu(year) ki-masz{ki} a-hul	
P128356	RSO 9, 472 P368	@reverse	7	[iti] ezem#?-[...]	[iti] ezem#?-[...]		[iti[month]] ezem#?-[...]	
P433571	RSO 83, 342 01	@left	1	4(disz)	4(dic)			
P433572	RSO 83, 342 02	@left	1	8(disz) udu	8(dic) udu			
